text,label
"This lecture feels too repetitive.",0
"I wish today's class was more interactive.",0
"I don't find this programming topic exciting.",0
"I am bored of solving similar questions.",0
"This lesson is making me lose concentration.",0

"I am sure I can complete this project successfully.",1
"I feel confident after practicing these programs.",1
"I know I can solve this coding problem.",1
"I have prepared well for today's exam.",1
"I understand this concept perfectly.",1
"I believe I will perform well in the interview.",1
"I can easily explain this algorithm.",1
"I am proud of my programming knowledge.",1
"I solved this challenge with confidence.",1
"I am certain I will achieve a good result.",1

"I don't understand this recursion example.",2
"I am confused by this programming question.",2
"This topic is difficult for me to understand.",2
"I don't know why my answer is incorrect.",2
"I am unable to understand this explanation.",2
"I don't know how this syntax works.",2
"This code is confusing me.",2
"I need help understanding this concept.",2
"I don't understand this output.",2
"I cannot figure out this programming logic.",2

"I want to learn how artificial intelligence works.",3
"I am interested in exploring machine learning projects.",3
"I would like to understand data visualization.",3
"I wonder how mobile applications are created.",3
"I enjoy learning about new software tools.",3
"I want to know how encryption works.",3
"I am curious about internet security.",3
"I would like to explore software testing.",3
"I enjoy discovering new programming frameworks.",3
"I want to understand full stack development.",3

"I am frustrated because my project won't compile.",4
"I cannot solve this coding issue.",4
"I am tired of seeing the same error message.",4
"My assignment keeps failing during execution.",4
"I feel disappointed because my solution is incorrect.",4
"I am struggling to finish this programming task.",4
"I cannot fix this runtime error.",4
"I have spent hours without solving this bug.",4
"This coding problem is making me feel hopeless.",4
"I feel frustrated because nothing is working correctly.",4
"I feel sleepy whenever I study this chapter.",0
"This lesson is not interesting enough to keep my attention.",0
"I don't enjoy solving these repetitive exercises.",0
"I am finding today's lecture very boring.",0
"I have no interest in continuing this topic.",0
"I feel mentally disconnected from this class.",0
"This chapter is making me feel exhausted.",0
"I don't feel excited to learn this subject.",0
"I am struggling to stay interested in this lesson.",0
"I think this topic is too monotonous.",0

"I am confident that I can solve any coding question.",1
"I know I have prepared well for this examination.",1
"I completed this assignment with ease.",1
"I believe my answer is correct.",1
"I am ready to face today's practical exam.",1
"I understand this chapter better than before.",1
"I solved this difficult bug successfully.",1
"I have full confidence in my preparation.",1
"I know I can finish this project on time.",1
"I feel capable of solving advanced programming tasks.",1

"I don't understand why this function returns this value.",2
"I am confused about the program flow.",2
"This concept is difficult to follow.",2
"I cannot understand this coding example.",2
"I don't know what this error message means.",2
"I am confused by this mathematical calculation.",2
"I need a better explanation for this topic.",2
"I don't know how to solve this programming exercise.",2
"This lesson is difficult to understand.",2
"I am unable to understand this algorithm completely.",2

"I want to explore how databases work internally.",3
"I am interested in learning about computer architecture.",3
"I wonder how operating systems schedule processes.",3
"I would like to know more about software engineering.",3
"I enjoy exploring advanced coding techniques.",3
"I want to understand ethical AI systems.",3
"I am curious about natural language processing.",3
"I would like to learn about DevOps practices.",3
"I enjoy researching new technologies.",3
"I want to discover how large software systems are built.",3

"I feel frustrated because my code gives unexpected output.",4
"I cannot understand why this bug keeps appearing.",4
"I have been debugging for hours without success.",4
"My application crashes every time I run it.",4
"I feel disappointed because my project failed.",4
"I worked hard but my solution is still wrong.",4
"I am stressed because I cannot finish this task.",4
"I am upset that my code is not working.",4
"I keep getting errors even after fixing the code.",4
"I feel helpless while debugging this program.",4
"I cannot keep my attention on this lesson.",0
"This chapter feels extremely boring to me.",0
"I have no enthusiasm for today's class.",0
"I feel tired of reading these notes.",0
"I don't find this topic engaging anymore.",0
"I am losing focus because this lesson is dull.",0
"This programming lecture is making me sleepy.",0
"I don't feel like completing this assignment.",0
"I wish this chapter had more practical examples.",0
"I have completely lost interest in this subject.",0

"I am certain I can crack this interview.",1
"I solved the toughest question confidently.",1
"I know I have prepared enough.",1
"I am confident in my coding abilities.",1
"I can easily complete this assignment.",1
"I believe my preparation is excellent.",1
"I am proud of my performance today.",1
"I know I will achieve my goal.",1
"I understand this lesson thoroughly.",1
"I feel ready for every challenge.",1

"I don't understand this recursion tree.",2
"This database concept is confusing.",2
"I cannot follow the teacher's explanation.",2
"I don't know how to approach this question.",2
"I am confused about dynamic programming.",2
"I don't understand the compiler error.",2
"This example is difficult to understand.",2
"I don't know why this answer is correct.",2
"I need help understanding this algorithm.",2
"I am unable to solve this confusing problem.",2

"I want to learn how ChatGPT works.",3
"I am interested in studying neural networks.",3
"I would like to explore reinforcement learning.",3
"I wonder how autonomous cars make decisions.",3
"I enjoy learning advanced AI concepts.",3
"I am curious about image processing.",3
"I want to understand speech recognition.",3
"I would like to build an AI chatbot.",3
"I am excited to learn about big data.",3
"I want to explore the field of data engineering.",3

"I have tried everything but my code still fails.",4
"I feel frustrated because I cannot fix this error.",4
"My application crashes after every update.",4
"I am disappointed with my coding progress.",4
"I spent hours but found no solution.",4
"I am annoyed by these compilation errors.",4
"My debugging attempts are not helping.",4
"I am upset because my project deadline is near.",4
"I cannot complete this assignment due to constant bugs.",4
"I feel frustrated after repeatedly failing this task.",4
"I feel bored after reading the same topic repeatedly.",0
"This lecture is too long and uninteresting.",0
"I cannot stay interested in this chapter.",0
"I feel like skipping this class.",0
"This lesson is making me lose my attention.",0
"I don't enjoy reading this textbook anymore.",0
"I have no motivation to solve these exercises.",0
"This subject feels very repetitive.",0
"I feel disconnected from today's lecture.",0
"I am not interested in learning this topic today.",0

"I am sure I can answer every question correctly.",1
"I believe I can finish this project before the deadline.",1
"I feel confident after completing all the practice questions.",1
"I know my preparation is sufficient.",1
"I am certain I understand this lesson.",1
"I can solve complex programming problems easily.",1
"I feel proud of finishing this assignment.",1
"I am ready to present my project confidently.",1
"I know I can achieve a high score.",1
"I have complete confidence in my abilities.",1

"I don't understand this binary tree traversal.",2
"I am confused about linked list operations.",2
"I cannot understand this sorting algorithm.",2
"I don't know why this loop is infinite.",2
"I am confused by this recursion problem.",2
"This explanation is difficult to follow.",2
"I don't understand the purpose of this variable.",2
"I need help understanding this programming concept.",2
"I cannot understand why this output is different.",2
"I don't know how this formula is derived.",2

"I want to explore how computer vision works.",3
"I am interested in learning about robotics.",3
"I wonder how search algorithms work.",3
"I want to study software architecture.",3
"I enjoy exploring new coding techniques.",3
"I am curious about quantum algorithms.",3
"I would like to understand cloud security.",3
"I want to learn about blockchain technology.",3
"I enjoy researching artificial intelligence.",3
"I am excited to build innovative software.",3

"I am frustrated because my project won't run.",4
"I cannot understand why my program keeps crashing.",4
"I spent hours debugging but found nothing.",4
"I am disappointed with today's coding session.",4
"I keep receiving unexpected runtime errors.",4
"I am stressed because my assignment is incomplete.",4
"I feel helpless while fixing this bug.",4
"My application is failing after every change.",4
"I cannot finish this task because of continuous errors.",4
"I am frustrated that nothing I try is working.",4
"I am getting bored of solving the same programming problems.",0
"This chapter is no longer interesting.",0
"I don't feel excited about today's lecture.",0
"I keep losing focus while reading this lesson.",0
"I have no interest in attending this class.",0
"This subject feels very dull.",0
"I don't enjoy these theory classes.",0
"I feel exhausted reading this chapter.",0
"I am not interested in revising this topic.",0
"This lesson is making me sleepy.",0

"I know I can clear this interview.",1
"I am confident about my coding skills.",1
"I believe I can solve this algorithm.",1
"I feel well prepared for the examination.",1
"I completed every practice problem successfully.",1
"I understand this subject completely.",1
"I am sure my project will work.",1
"I solved this problem without difficulty.",1
"I am ready for any technical interview.",1
"I believe I will achieve excellent marks.",1

"I don't understand how this stack works.",2
"I am confused about queue operations.",2
"This recursion example is difficult to understand.",2
"I don't know why this code is failing.",2
"I cannot understand this graph algorithm.",2
"I am confused about pointer arithmetic.",2
"This explanation is unclear to me.",2
"I don't know how to debug this program.",2
"I cannot understand this flowchart.",2
"I am struggling to understand this lesson.",2

"I want to know how ChatGPT generates answers.",3
"I am curious about large language models.",3
"I would like to learn about data analytics.",3
"I enjoy exploring cloud platforms.",3
"I want to study ethical hacking techniques.",3
"I am interested in learning Flutter development.",3
"I wonder how facial recognition works.",3
"I would like to build my own AI assistant.",3
"I enjoy discovering new software tools.",3
"I want to understand microservices architecture.",3

"My project still doesn't work after many attempts.",4
"I am frustrated because my code produces wrong output.",4
"I cannot fix this compiler issue.",4
"I feel disappointed with today's progress.",4
"I have been debugging since morning.",4
"I am stressed because my submission is tomorrow.",4
"My application keeps throwing exceptions.",4
"I am tired of fixing the same issue repeatedly.",4
"I feel frustrated after failing multiple test cases.",4
"I don't know why my solution is still incorrect.",4
"I feel uninterested in this programming assignment.",0
"This lesson is becoming more boring every minute.",0
"I don't have the energy to continue studying.",0
"I feel distracted because this topic is dull.",0
"I have lost my curiosity about this chapter.",0
"This lecture is too repetitive for me.",0
"I don't enjoy learning this concept anymore.",0
"I feel mentally exhausted by this lesson.",0
"I cannot stay focused on this textbook.",0
"I am bored with these repetitive coding exercises.",0

"I am confident I can finish this project before the deadline.",1
"I believe I can solve this debugging problem.",1
"I understand every concept in this unit.",1
"I feel prepared for my viva examination.",1
"I know I can answer difficult interview questions.",1
"I completed this module successfully.",1
"I trust my programming skills.",1
"I solved every test case correctly.",1
"I am sure I will perform well today.",1
"I have confidence in my preparation.",1

"I don't understand this operating system concept.",2
"I am confused by this database normalization.",2
"I cannot understand this networking protocol.",2
"I don't know why my output is incorrect.",2
"I am struggling to understand this explanation.",2
"This coding question is confusing me.",2
"I don't understand this recursion process.",2
"I cannot follow the logic of this algorithm.",2
"I am unsure how to solve this exercise.",2
"I need another explanation for this topic.",2

"I want to learn how recommendation systems work.",3
"I am curious about machine translation.",3
"I would like to explore augmented reality.",3
"I want to understand edge computing.",3
"I enjoy learning about software design patterns.",3
"I am interested in learning Kubernetes.",3
"I wonder how GPUs process deep learning models.",3
"I would like to know more about compiler design.",3
"I enjoy exploring backend development.",3
"I want to study distributed databases.",3

"I feel frustrated because my project keeps failing the test cases.",4
"I cannot understand why this exception occurs.",4
"My code compiles but does not work correctly.",4
"I have spent hours trying to fix this issue.",4
"I feel disappointed because I missed the deadline.",4
"I am stressed due to continuous coding errors.",4
"My debugging attempts are unsuccessful.",4
"I am frustrated because my application freezes.",4
"I cannot complete my assignment because of this bug.",4
"I feel hopeless after trying so many solutions.",4
